p,noise_type,decoder,ler,ci_low,ci_high,errors,shots,convergence
0.0100,static,bp,0.001000,0.000274,0.003639,2,2000,0.999
0.0100,static,gnn_bp,0.001000,0.000274,0.003639,2,2000,0.9995
0.0100,static,bposd,0.001000,0.000274,0.003639,2,2000,N/A
0.0233,static,bp,0.016000,0.011356,0.022499,32,2000,0.9915
0.0233,static,gnn_bp,0.017500,0.012610,0.024240,35,2000,0.995
0.0233,static,bposd,0.018000,0.013030,0.024818,36,2000,N/A
0.0367,static,bp,0.063000,0.053167,0.074509,126,2000,0.9715
0.0367,static,gnn_bp,0.060000,0.050411,0.071276,120,2000,0.9875
0.0367,static,bposd,0.064500,0.054547,0.076122,129,2000,N/A
0.0500,static,bp,0.150500,0.135500,0.166840,301,2000,0.9275
0.0500,static,gnn_bp,0.153000,0.137889,0.169441,306,2000,0.962
0.0500,static,bposd,0.150000,0.135023,0.166319,300,2000,N/A
0.0100,drift,bp,0.013500,0.009294,0.019571,27,2000,0.9925
0.0100,drift,gnn_bp,0.015000,0.010527,0.021332,30,2000,0.9945
0.0100,drift,bposd,0.013500,0.009294,0.019571,27,2000,N/A
0.0233,drift,bp,0.038500,0.030914,0.047855,77,2000,0.9835
0.0233,drift,gnn_bp,0.033000,0.026023,0.041768,66,2000,0.9925
0.0233,drift,bposd,0.038000,0.030468,0.047304,76,2000,N/A
0.0367,drift,bp,0.093000,0.081040,0.106520,186,2000,0.9565
0.0367,drift,gnn_bp,0.084000,0.072626,0.096969,168,2000,0.9845
0.0367,drift,bposd,0.088000,0.076361,0.101219,176,2000,N/A
0.0500,drift,bp,0.175000,0.158975,0.192271,350,2000,0.9235
0.0500,drift,gnn_bp,0.172000,0.156094,0.189164,344,2000,0.968
0.0500,drift,bposd,0.165500,0.149857,0.182425,331,2000,N/A
