p,noise_type,decoder,ler,ci_low,ci_high,errors,shots,convergence
0.0050,static,bp,0.000000,0.000000,0.001917,0,2000,1.0
0.0050,static,gnn_bp,0.000000,0.000000,0.001917,0,2000,1.0
0.0050,static,bposd,0.000000,0.000000,0.001917,0,2000,N/A
0.0140,static,bp,0.004000,0.002028,0.007873,8,2000,0.9975
0.0140,static,gnn_bp,0.005500,0.003074,0.009822,11,2000,0.999
0.0140,static,bposd,0.006000,0.003436,0.010458,12,2000,N/A
0.0230,static,bp,0.021000,0.015574,0.028263,42,2000,0.9875
0.0230,static,gnn_bp,0.020000,0.014722,0.027119,40,2000,0.9915
0.0230,static,bposd,0.022000,0.016429,0.029404,44,2000,N/A
0.0320,static,bp,0.042500,0.034501,0.052253,85,2000,0.98
0.0320,static,gnn_bp,0.040500,0.032705,0.050057,81,2000,0.986
0.0320,static,bposd,0.041500,0.033602,0.051156,83,2000,N/A
0.0410,static,bp,0.091500,0.079635,0.104931,183,2000,0.9635
0.0410,static,gnn_bp,0.099500,0.087139,0.113396,199,2000,0.9825
0.0410,static,bposd,0.084500,0.073093,0.097500,169,2000,N/A
0.0500,static,bp,0.142000,0.127388,0.157985,284,2000,0.9405
0.0500,static,gnn_bp,0.140500,0.125958,0.156420,281,2000,0.9725
0.0500,static,bposd,0.138000,0.123577,0.153811,276,2000,N/A
0.0050,drift,bp,0.004500,0.002369,0.008531,9,2000,0.9985
0.0050,drift,gnn_bp,0.006000,0.003436,0.010458,12,2000,0.998
0.0050,drift,bposd,0.006500,0.003803,0.011090,13,2000,N/A
0.0140,drift,bp,0.018500,0.013451,0.025395,37,2000,0.992
0.0140,drift,gnn_bp,0.018000,0.013030,0.024818,36,2000,0.9925
0.0140,drift,bposd,0.019000,0.013874,0.025970,38,2000,N/A
0.0230,drift,bp,0.030000,0.023378,0.038424,60,2000,0.987
0.0230,drift,gnn_bp,0.032500,0.025581,0.041212,65,2000,0.992
0.0230,drift,bposd,0.031000,0.024257,0.039541,62,2000,N/A
0.0320,drift,bp,0.061000,0.051329,0.072354,122,2000,0.9765
0.0320,drift,gnn_bp,0.060000,0.050411,0.071276,120,2000,0.989
0.0320,drift,bposd,0.059500,0.049953,0.070736,119,2000,N/A
0.0410,drift,bp,0.110500,0.097500,0.124994,221,2000,0.956
0.0410,drift,gnn_bp,0.108000,0.095141,0.122362,216,2000,0.981
0.0410,drift,bposd,0.106500,0.093727,0.120782,213,2000,N/A
0.0500,drift,bp,0.183000,0.166667,0.200548,366,2000,0.916
0.0500,drift,gnn_bp,0.182500,0.166186,0.200031,365,2000,0.9645
0.0500,drift,bposd,0.173000,0.157054,0.190200,346,2000,N/A
