p,noise_type,decoder,ler,ci_low,ci_high,errors,shots,convergence
0.0100,static,bp,0.001000,0.000177,0.005643,1,1000,0.999
0.0100,static,gnn_bp,0.001000,0.000177,0.005643,1,1000,1.0
0.0100,static,bposd,0.001000,0.000177,0.005643,1,1000,N/A
0.0250,static,bp,0.019000,0.012197,0.029484,19,1000,0.99
0.0250,static,gnn_bp,0.017000,0.010641,0.027056,17,1000,0.993
0.0250,static,bposd,0.020000,0.012984,0.030690,20,1000,N/A
0.0400,static,bp,0.094000,0.077434,0.113673,94,1000,0.958
0.0400,static,gnn_bp,0.088000,0.071981,0.107172,88,1000,0.983
0.0400,static,bposd,0.094000,0.077434,0.113673,94,1000,N/A
0.0100,drift,bp,0.004000,0.001557,0.010240,4,1000,0.998
0.0100,drift,gnn_bp,0.002000,0.000549,0.007263,2,1000,0.999
0.0100,drift,bposd,0.004000,0.001557,0.010240,4,1000,N/A
0.0250,drift,bp,0.049000,0.037261,0.064191,49,1000,0.978
0.0250,drift,gnn_bp,0.043000,0.032079,0.057419,43,1000,0.985
0.0250,drift,bposd,0.041000,0.030365,0.055148,41,1000,N/A
0.0400,drift,bp,0.108000,0.090241,0.128759,108,1000,0.954
0.0400,drift,gnn_bp,0.099000,0.081995,0.119074,99,1000,0.976
0.0400,drift,bposd,0.104000,0.086571,0.124460,104,1000,N/A
